iso3,survey_area,year,metric,percent,denominator_ja,source_id,note_ja
EGY,national,2010,head_cover_always,62,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
EGY,national,2010,head_cover_most,21,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
EGY,national,2010,head_cover_sometimes,6,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
EGY,national,2010,head_cover_never,12,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
IDN,national,2010,head_cover_always,11,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
IDN,national,2010,head_cover_most,18,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
IDN,national,2010,head_cover_sometimes,53,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
IDN,national,2010,head_cover_never,18,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
JOR,national,2010,head_cover_always,59,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
JOR,national,2010,head_cover_most,24,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
JOR,national,2010,head_cover_sometimes,10,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
JOR,national,2010,head_cover_never,7,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
LBN,national,2010,head_cover_always,58,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
LBN,national,2010,head_cover_most,5,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
LBN,national,2010,head_cover_sometimes,5,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
LBN,national,2010,head_cover_never,31,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
NGA,national,2010,head_cover_always,53,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
NGA,national,2010,head_cover_most,16,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
NGA,national,2010,head_cover_sometimes,12,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
NGA,national,2010,head_cover_never,15,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
PAK,national,2010,head_cover_always,32,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
PAK,national,2010,head_cover_most,29,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
PAK,national,2010,head_cover_sometimes,10,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
PAK,national,2010,head_cover_never,29,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
TUR,national,2010,head_cover_always,56,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
TUR,national,2010,head_cover_most,6,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
TUR,national,2010,head_cover_sometimes,7,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
TUR,national,2010,head_cover_never,28,ムスリム女性,PEW_DRESS2010,頭布全般の頻度。回答丸め・無回答があり合計は100に限らない。
IND,national,2019–2020,head_cover_practice,89,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,national,2019–2020,hijab,8,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,national,2019–2020,niqab,12,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,national,2019–2020,burqa,64,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,North,2019–2020,head_cover_practice,85,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,North,2019–2020,hijab,7,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,North,2019–2020,niqab,15,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,North,2019–2020,burqa,61,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,East,2019–2020,head_cover_practice,92,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,East,2019–2020,hijab,7,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,East,2019–2020,niqab,17,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,East,2019–2020,burqa,59,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,West,2019–2020,head_cover_practice,90,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,West,2019–2020,hijab,4,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,West,2019–2020,niqab,15,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,West,2019–2020,burqa,67,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,South,2019–2020,head_cover_practice,83,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,South,2019–2020,hijab,23,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,South,2019–2020,niqab,1,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,South,2019–2020,burqa,59,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
