iso3,country_en,selected_regions,national_percent,status
DZA,Algeria,1,98.4,掲載
EGY,Egypt,1,95.2,掲載
LBY,Libya,1,99.0,掲載
MAR,Morocco,1,99.7,掲載
SDN,Sudan,1,98.9,掲載
TUN,Tunisia,1,99.3,掲載
ESH,Western Sahara,1,99.6,掲載
IOT,British Indian Ocean Territory,0,,未掲載（低頻度の証明ではない）
BDI,Burundi,0,3.0,未掲載（低頻度の証明ではない）
COM,Comoros,1,98.3,掲載
DJI,Djibouti,1,97.7,掲載
ERI,Eritrea,1,51.7,掲載
ETH,Ethiopia,3,36.2,掲載
ATF,French Southern Territories,0,,未掲載（低頻度の証明ではない）
KEN,Kenya,3,10.9,掲載
MDG,Madagascar,1,1.2,掲載
MWI,Malawi,1,11.6,掲載
MUS,Mauritius,1,17.5,掲載
MYT,Mayotte,1,98.8,掲載
MOZ,Mozambique,1,19.4,掲載
REU,Réunion,0,4.2,未掲載（低頻度の証明ではない）
RWA,Rwanda,0,1.8,未掲載（低頻度の証明ではない）
SYC,Seychelles,0,0.9,未掲載（低頻度の証明ではない）
SOM,Somalia,1,99.8,掲載
SSD,South Sudan,0,6.2,未掲載（低頻度の証明ではない）
UGA,Uganda,1,11.4,掲載
TZA,United Republic of Tanzania,2,29.9,掲載
ZMB,Zambia,0,0.5,未掲載（低頻度の証明ではない）
ZWE,Zimbabwe,0,0.5,未掲載（低頻度の証明ではない）
AGO,Angola,0,0.3,未掲載（低頻度の証明ではない）
CMR,Cameroon,1,25.2,掲載
CAF,Central African Republic,0,6.2,未掲載（低頻度の証明ではない）
TCD,Chad,1,56.4,掲載
COG,Congo,0,1.5,未掲載（低頻度の証明ではない）
COD,Democratic Republic of the Congo,0,1.3,未掲載（低頻度の証明ではない）
GNQ,Equatorial Guinea,0,4.0,未掲載（低頻度の証明ではない）
GAB,Gabon,0,8.6,未掲載（低頻度の証明ではない）
STP,Sao Tome and Principe,0,<0.1,未掲載（低頻度の証明ではない）
BWA,Botswana,0,0.3,未掲載（低頻度の証明ではない）
SWZ,Eswatini,0,0.1,未掲載（低頻度の証明ではない）
LSO,Lesotho,0,0.2,未掲載（低頻度の証明ではない）
NAM,Namibia,0,0.1,未掲載（低頻度の証明ではない）
ZAF,South Africa,3,1.6,掲載
BEN,Benin,1,31.4,掲載
BFA,Burkina Faso,1,67.4,掲載
CPV,Cabo Verde,0,0.3,未掲載（低頻度の証明ではない）
CIV,Côte d’Ivoire,2,46.3,掲載
GMB,Gambia,1,97.0,掲載
GHA,Ghana,2,19.9,掲載
GIN,Guinea,1,86.8,掲載
GNB,Guinea-Bissau,1,56.0,掲載
LBR,Liberia,0,12.7,未掲載（低頻度の証明ではない）
MLI,Mali,1,94.1,掲載
MRT,Mauritania,1,99.2,掲載
NER,Niger,1,98.1,掲載
NGA,Nigeria,3,56.1,掲載
SHN,Saint Helena,0,,未掲載（低頻度の証明ではない）
SEN,Senegal,1,97.6,掲載
SLE,Sierra Leone,1,80.1,掲載
TGO,Togo,1,16.1,掲載
AIA,Anguilla,0,,未掲載（低頻度の証明ではない）
ATG,Antigua and Barbuda,0,,未掲載（低頻度の証明ではない）
ABW,Aruba,0,0.3,未掲載（低頻度の証明ではない）
BHS,Bahamas,0,<0.1,未掲載（低頻度の証明ではない）
BRB,Barbados,0,0.7,未掲載（低頻度の証明ではない）
BES,"Bonaire, Sint Eustatius and Saba",0,,未掲載（低頻度の証明ではない）
VGB,British Virgin Islands,0,,未掲載（低頻度の証明ではない）
CYM,Cayman Islands,0,,未掲載（低頻度の証明ではない）
CUB,Cuba,0,<0.1,未掲載（低頻度の証明ではない）
CUW,Curaçao,0,0.5,未掲載（低頻度の証明ではない）
DMA,Dominica,0,,未掲載（低頻度の証明ではない）
DOM,Dominican Republic,0,<0.1,未掲載（低頻度の証明ではない）
GRD,Grenada,0,0.4,未掲載（低頻度の証明ではない）
GLP,Guadeloupe,0,0.4,未掲載（低頻度の証明ではない）
HTI,Haiti,0,<0.1,未掲載（低頻度の証明ではない）
JAM,Jamaica,0,<0.1,未掲載（低頻度の証明ではない）
MTQ,Martinique,0,0.2,未掲載（低頻度の証明ではない）
MSR,Montserrat,0,,未掲載（低頻度の証明ではない）
PRI,Puerto Rico,0,0.1,未掲載（低頻度の証明ではない）
