area,state_code,district_code,year,population,muslims,muslim_percent,women,muslim_women,source_id,input_file
State - JAMMU & KASHMIR,01,000,2011,12541302,8567485,68.3142,5900640,4138711,IND_C01,india-c01.xls
District - Kupwara,01,001,2011,870354,823286,94.5921,396164,392765,IND_C01,india-c01-01.xls
District - Badgam,01,002,2011,753745,736054,97.6529,355704,351773,IND_C01,india-c01-01.xls
District - Leh(Ladakh),01,003,2011,133487,19057,14.2763,54516,8564,IND_C01,india-c01-01.xls
District - Kargil,01,004,2011,140802,108239,76.8732,63017,52477,IND_C01,india-c01-01.xls
District - Punch,01,005,2011,476835,431279,90.4462,224936,210643,IND_C01,india-c01-01.xls
District - Rajouri,01,006,2011,642415,402879,62.7132,297064,193331,IND_C01,india-c01-01.xls
District - Kathua,01,007,2011,616435,64234,10.4202,290326,30506,IND_C01,india-c01-01.xls
District - Baramula,01,008,2011,1008039,959185,95.1536,473306,463751,IND_C01,india-c01-01.xls
District - Bandipore,01,009,2011,392232,382006,97.3929,184552,183684,IND_C01,india-c01-01.xls
District - Srinagar,01,010,2011,1236829,1177342,95.1904,585705,572098,IND_C01,india-c01-01.xls
District - Ganderbal,01,011,2011,297446,290581,97.692,138726,138010,IND_C01,india-c01-01.xls
District - Pulwama,01,012,2011,560440,535159,95.4891,267376,261055,IND_C01,india-c01-01.xls
District - Shupiyan,01,013,2011,266215,262263,98.5155,129735,129030,IND_C01,india-c01-01.xls
District - Anantnag,01,014,2011,1078692,1057005,97.9895,518925,514334,IND_C01,india-c01-01.xls
District - Kulgam,01,015,2011,424483,418076,98.4906,206863,205007,IND_C01,india-c01-01.xls
District - Doda,01,016,2011,409936,220614,53.8167,196295,106242,IND_C01,india-c01-01.xls
District - Ramban,01,017,2011,283713,200516,70.6756,134581,96438,IND_C01,india-c01-01.xls
District - Kishtwar,01,018,2011,230696,133225,57.7492,110531,64570,IND_C01,india-c01-01.xls
District - Udhampur,01,019,2011,554985,59771,10.7698,258201,28552,IND_C01,india-c01-01.xls
District - Reasi,01,020,2011,314667,156275,49.6636,148206,74677,IND_C01,india-c01-01.xls
District - Jammu,01,021,2011,1529958,107489,7.0256,716137,50562,IND_C01,india-c01-01.xls
District - Samba,01,022,2011,318898,22950,7.1967,149774,10642,IND_C01,india-c01-01.xls
State - NCT OF DELHI,07,000,2011,16787941,2158684,12.8585,7800615,994750,IND_C01,india-c01.xls
District - North West,07,090,2011,3656539,291330,7.9674,1695617,133419,IND_C01,india-c01-07.xls
District - North,07,091,2011,887978,119792,13.4904,412976,56035,IND_C01,india-c01-07.xls
District - North East,07,092,2011,2241624,657585,29.3352,1053199,312022,IND_C01,india-c01-07.xls
District - East,07,093,2011,1709346,178807,10.4606,801846,82188,IND_C01,india-c01-07.xls
District - New Delhi,07,094,2011,142004,8480,5.9717,64062,3586,IND_C01,india-c01-07.xls
District - Central,07,095,2011,582320,194278,33.3628,274499,91655,IND_C01,india-c01-07.xls
District - West,07,096,2011,2543243,149807,5.8904,1187003,66133,IND_C01,india-c01-07.xls
District - South West,07,097,2011,2292958,112691,4.9147,1046912,47200,IND_C01,india-c01-07.xls
District - South,07,098,2011,2731929,445914,16.3223,1264501,202512,IND_C01,india-c01-07.xls
State - ASSAM,18,000,2011,31205576,10679345,34.2226,15266133,5215952,IND_C01,india-c01.xls
District - Kokrajhar,18,300,2011,887142,252271,28.4364,434237,123270,IND_C01,india-c01-18.xls
District - Dhubri,18,301,2011,1949258,1553023,79.6725,951410,759422,IND_C01,india-c01-18.xls
