area,year,muslims,population,muslim_percent,muslim_women,women,source_id
11. NANGGROE ACEH DARUSSALAM,2010,4413244,4494410,98.1941,2208935,2245458,BPS2010
12. SUMATERA UTARA,2010,8579830,12982204,66.0892,4271867,6498850,BPS2010
13. SUMATERA BARAT,2010,4721924,4846909,97.4213,2383355,2442532,BPS2010
14. RIAU,2010,4872873,5538367,87.9839,2367848,2685199,BPS2010
15. JAMBI,2010,2950195,3092265,95.4056,1444115,1511155,BPS2010
16. SUMATERA SELATAN,2010,7218951,7450394,96.8935,3547420,3657747,BPS2010
17. BENGKULU,2010,1669081,1715518,97.2931,816791,838359,BPS2010
18. LAMPUNG,2010,7264783,7608405,95.4837,3525307,3691783,BPS2010
19. KEPULAUAN BANGKA BELITUNG,2010,1088791,1223296,89.0047,523374,588202,BPS2010
21. KEPULAUAN RIAU,2010,1332201,1679163,79.3372,644570,817019,BPS2010
31. DKI JAKARTA,2010,8200796,9607787,85.3557,4029695,4736849,BPS2010
32. JAWA BARAT,2010,41763592,43053732,97.0034,20514284,21146692,BPS2010
33. JAWA TENGAH,2010,31328341,32382657,96.7442,15760158,16291545,BPS2010
34. DI YOGYAKARTA,2010,3179129,3457491,91.949,1608283,1748581,BPS2010
35. JAWA TIMUR,2010,36113396,37476757,96.3621,18292350,18973241,BPS2010
36. BANTEN,2010,10065783,10632166,94.6729,4909175,5193018,BPS2010
51. BALI,2010,520244,3890757,13.3713,243828,1929409,BPS2010
52. NUSA TENGGARA BARAT,2010,4341284,4500212,96.4684,2238605,2316566,BPS2010
53. NUSA TENGGARA TIMUR,2010,423925,4683827,9.0508,213091,2357340,BPS2010
61. KALIMANTAN BARAT,2010,2603318,4395983,59.2204,1288058,2149080,BPS2010
62. KALIMANTAN TENGAH,2010,1643715,2212089,74.306,785347,1058346,BPS2010
63. KALIMANTAN SELATAN,2010,3505846,3626616,96.6699,1734212,1790406,BPS2010
64. KALIMANTAN TIMUR,2010,3033705,3553143,85.3809,1440635,1681453,BPS2010
71. SULAWESI UTARA,2010,701699,2270596,30.9037,338535,1110693,BPS2010
72. SULAWESI TENGAH,2010,2047959,2635009,77.7211,1001701,1284165,BPS2010
73. SULAWESI SELATAN,2010,7200938,8034776,89.6221,3699785,4110345,BPS2010
74. SULAWESI TENGGARA,2010,2126126,2232586,95.2315,1060868,1110760,BPS2010
75. GORONTALO,2010,1017396,1040164,97.8111,507477,518250,BPS2010
76. SULAWESI BARAT,2010,957735,1158651,82.6595,480073,577125,BPS2010
81. MALUKU,2010,776130,1533506,50.6115,383092,758029,BPS2010
82. MALUKU UTARA,2010,771110,1038087,74.2818,378310,506694,BPS2010
91. PAPUA BARAT,2010,292026,760422,38.4031,134826,358024,BPS2010
94. PAPUA,2010,450096,2833381,15.8855,204409,1327498,BPS2010
TOTAL,2010,207176162,237641326,87.1802,102980379,118010413,BPS2010
