place,year,population,muslim_percent,source_id,source_page,iso3
World,2010,7020590000,23.9,PEW2025,1,
World,2020,7885810000,25.6,PEW2025,1,
Asia-Pacific,2010,4128250000,24.8,PEW2025,1,
Asia-Pacific,2020,4544800000,26.1,PEW2025,1,
Europe,2010,741700000,5.3,PEW2025,1,
Europe,2020,752960000,6.0,PEW2025,1,
Latin America-Caribbean,2010,588470000,0.1,PEW2025,1,
Latin America-Caribbean,2020,646240000,0.1,PEW2025,1,
Middle East-North Africa,2010,355630000,94.0,PEW2025,1,
Middle East-North Africa,2020,439690000,94.2,PEW2025,1,
North America,2010,345260000,1.1,PEW2025,1,
North America,2020,377610000,1.6,PEW2025,1,
Sub-Saharan Africa,2010,861270000,32.0,PEW2025,1,
Sub-Saharan Africa,2020,1124520000,32.8,PEW2025,1,
Afghanistan,2010,28280000,99.7,PEW2025,1,AFG
Afghanistan,2020,39070000,99.9,PEW2025,1,AFG
Albania,2010,2930000,70.2,PEW2025,1,ALB
Albania,2020,2870000,74.5,PEW2025,1,ALB
Algeria,2010,36190000,98.6,PEW2025,2,DZA
Algeria,2020,44040000,98.4,PEW2025,2,DZA
Angola,2010,23290000,0.2,PEW2025,2,AGO
Angola,2020,33450000,0.3,PEW2025,2,AGO
Argentina,2010,41290000,1.0,PEW2025,2,ARG
Argentina,2020,45190000,0.9,PEW2025,2,ARG
Armenia,2010,2930000,<0.1,PEW2025,2,ARM
Armenia,2020,2890000,0.3,PEW2025,2,ARM
Aruba,2010,100000,0.2,PEW2025,2,ABW
Aruba,2020,110000,0.3,PEW2025,2,ABW
Australia,2010,22140000,2.5,PEW2025,2,AUS
Australia,2020,25740000,3.5,PEW2025,2,AUS
Austria,2010,8370000,5.4,PEW2025,2,AUT
Austria,2020,8920000,8.3,PEW2025,2,AUT
Azerbaijan,2010,9150000,97.1,PEW2025,2,AZE
Azerbaijan,2020,10180000,94.7,PEW2025,2,AZE
Bahamas,2010,370000,<0.1,PEW2025,2,BHS
Bahamas,2020,400000,<0.1,PEW2025,2,BHS
Bahrain,2010,1210000,70.2,PEW2025,2,BHR
Bahrain,2020,1480000,74.0,PEW2025,2,BHR
Bangladesh,2010,152200000,90.4,PEW2025,3,BGD
Bangladesh,2020,166300000,91.1,PEW2025,3,BGD
Barbados,2010,280000,0.7,PEW2025,3,BRB
Barbados,2020,280000,0.7,PEW2025,3,BRB
Belarus,2010,9490000,0.3,PEW2025,3,BLR
Belarus,2020,9350000,0.3,PEW2025,3,BLR
Belgium,2010,10940000,5.1,PEW2025,3,BEL
Belgium,2020,11540000,6.8,PEW2025,3,BEL
Belize,2010,320000,0.2,PEW2025,3,BLZ
Belize,2020,390000,0.2,PEW2025,3,BLZ
Benin,2010,9800000,23.5,PEW2025,3,BEN
Benin,2020,13070000,31.4,PEW2025,3,BEN
Bhutan,2010,700000,0.2,PEW2025,3,BTN
Bhutan,2020,770000,0.2,PEW2025,3,BTN
Bolivia,2010,10180000,<0.1,PEW2025,3,BOL
Bolivia,2020,11820000,<0.1,PEW2025,3,BOL
Bosnia-Herzegovina,2010,3810000,51.3,PEW2025,3,BIH
Bosnia-Herzegovina,2020,3300000,53.6,PEW2025,3,BIH
Botswana,2010,2030000,0.7,PEW2025,3,BWA
Botswana,2020,2370000,0.3,PEW2025,3,BWA
Brazil,2010,193700000,<0.1,PEW2025,4,BRA
Brazil,2020,208660000,<0.1,PEW2025,4,BRA
Brunei,2010,390000,78.8,PEW2025,4,BRN
Brunei,2020,450000,82.2,PEW2025,4,BRN
Bulgaria,2010,7440000,10.0,PEW2025,4,BGR
Bulgaria,2020,6930000,10.3,PEW2025,4,BGR
Burkina Faso,2010,16180000,64.3,PEW2025,4,BFA
Burkina Faso,2020,21480000,67.4,PEW2025,4,BFA
Burundi,2010,9380000,2.1,PEW2025,4,BDI
Burundi,2020,12620000,3.0,PEW2025,4,BDI
Cambodia,2010,14500000,1.9,PEW2025,4,KHM
Cambodia,2020,16730000,2.0,PEW2025,4,KHM
Cameroon,2010,19670000,21.3,PEW2025,4,CMR
Cameroon,2020,26210000,25.2,PEW2025,4,CMR
Canada,2010,34200000,3.2,PEW2025,4,CAN
Canada,2020,38170000,4.9,PEW2025,4,CAN
Cape Verde,2010,510000,0.3,PEW2025,4,CPV
Cape Verde,2020,510000,0.3,PEW2025,4,CPV
Central African Republic,2010,4490000,8.4,PEW2025,4,CAF
Central African Republic,2020,5030000,6.2,PEW2025,4,CAF
Chad,2010,12310000,57.3,PEW2025,5,TCD
Chad,2020,17220000,56.4,PEW2025,5,TCD
Channel Islands,2010,160000,<0.1,PEW2025,5,
Channel Islands,2020,170000,<0.1,PEW2025,5,
Chile,2010,17180000,<0.1,PEW2025,5,CHL
Chile,2020,19370000,<0.1,PEW2025,5,CHL
China,2010,1351560000,1.5,PEW2025,5,CHN
China,2020,1426110000,1.8,PEW2025,5,CHN
Colombia,2010,44780000,<0.1,PEW2025,5,COL
Colombia,2020,50630000,<0.1,PEW2025,5,COL
Comoros,2010,650000,99.5,PEW2025,5,COM
Comoros,2020,800000,98.3,PEW2025,5,COM
Costa Rica,2010,4560000,<0.1,PEW2025,5,CRI
Costa Rica,2020,5030000,<0.1,PEW2025,5,CRI
Croatia,2010,4300000,1.5,PEW2025,5,HRV
Croatia,2020,3950000,1.4,PEW2025,5,HRV
Cuba,2010,11300000,<0.1,PEW2025,5,CUB
Cuba,2020,11180000,<0.1,PEW2025,5,CUB
Curacao,2010,160000,0.5,PEW2025,5,CUW
Curacao,2020,190000,0.5,PEW2025,5,CUW
Cyprus,2010,1130000,26.6,PEW2025,6,CYP
Cyprus,2020,1300000,24.4,PEW2025,6,CYP
Czech Republic,2010,10460000,0.2,PEW2025,6,CZE
Czech Republic,2020,10550000,0.3,PEW2025,6,CZE
D.R. Congo,2010,68560000,1.2,PEW2025,6,COD
D.R. Congo,2020,95990000,1.3,PEW2025,6,COD
Denmark,2010,5550000,3.2,PEW2025,6,DNK
Denmark,2020,5830000,4.2,PEW2025,6,DNK
Djibouti,2010,930000,97.4,PEW2025,6,DJI
Djibouti,2020,1110000,97.7,PEW2025,6,DJI
Dominican Republic,2010,9820000,<0.1,PEW2025,6,DOM
Dominican Republic,2020,11010000,<0.1,PEW2025,6,DOM
Ecuador,2010,15080000,<0.1,PEW2025,6,ECU
Ecuador,2020,17550000,<0.1,PEW2025,6,ECU
Egypt,2010,89200000,94.9,PEW2025,6,EGY
Egypt,2020,109320000,95.2,PEW2025,6,EGY
El Salvador,2010,6070000,<0.1,PEW2025,6,SLV
El Salvador,2020,6230000,<0.1,PEW2025,6,SLV
Equatorial Guinea,2010,1190000,4.0,PEW2025,6,GNQ
Equatorial Guinea,2020,1720000,4.0,PEW2025,6,GNQ
Eritrea,2010,2950000,51.3,PEW2025,7,ERI
Eritrea,2020,3290000,51.7,PEW2025,7,ERI
Estonia,2010,1330000,0.5,PEW2025,7,EST
Estonia,2020,1330000,0.6,PEW2025,7,EST
Eswatini,2010,1110000,0.3,PEW2025,7,SWZ
Eswatini,2020,1190000,0.1,PEW2025,7,SWZ
Ethiopia,2010,90540000,34.8,PEW2025,7,ETH
Ethiopia,2020,118920000,36.2,PEW2025,7,ETH
Federated States of Micronesia,2010,110000,<0.1,PEW2025,7,FSM
Federated States of Micronesia,2020,110000,<0.1,PEW2025,7,FSM
Fiji,2010,910000,6.3,PEW2025,7,FJI
Fiji,2020,910000,5.8,PEW2025,7,FJI
Finland,2010,5360000,0.8,PEW2025,7,FIN
Finland,2020,5530000,1.6,PEW2025,7,FIN
France,2010,63420000,6.6,PEW2025,7,FRA
France,2020,65910000,9.1,PEW2025,7,FRA
French Guiana,2010,230000,0.9,PEW2025,7,GUF
French Guiana,2020,290000,0.9,PEW2025,7,GUF
French Polynesia,2010,270000,0.4,PEW2025,7,PYF
French Polynesia,2020,280000,0.3,PEW2025,7,PYF
Gabon,2010,1720000,5.4,PEW2025,8,GAB
Gabon,2020,2320000,8.6,PEW2025,8,GAB
Gambia,2010,1930000,96.2,PEW2025,8,GMB
Gambia,2020,2520000,97.0,PEW2025,8,GMB
Georgia,2010,3900000,10.7,PEW2025,8,GEO
Georgia,2020,3800000,10.5,PEW2025,8,GEO
Germany,2010,80830000,5.1,PEW2025,8,DEU
Germany,2020,83630000,6.5,PEW2025,8,DEU
Ghana,2010,25470000,17.7,PEW2025,8,GHA
Ghana,2020,31890000,19.9,PEW2025,8,GHA
Greece,2010,11120000,4.5,PEW2025,8,GRC
Greece,2020,10700000,5.1,PEW2025,8,GRC
Grenada,2010,110000,0.4,PEW2025,8,GRD
Grenada,2020,120000,0.4,PEW2025,8,GRD
Guadeloupe,2010,410000,0.4,PEW2025,8,GLP
Guadeloupe,2020,410000,0.4,PEW2025,8,GLP
Guam,2010,170000,<0.1,PEW2025,8,GUM
Guam,2020,160000,<0.1,PEW2025,8,GUM
Guatemala,2010,14500000,<0.1,PEW2025,8,GTM
Guatemala,2020,17360000,<0.1,PEW2025,8,GTM
Guinea,2010,10400000,87.9,PEW2025,9,GIN
Guinea,2020,13370000,86.8,PEW2025,9,GIN
Guinea-Bissau,2010,1570000,53.7,PEW2025,9,GNB
Guinea-Bissau,2020,2010000,56.0,PEW2025,9,GNB
Guyana,2010,750000,6.8,PEW2025,9,GUY
Guyana,2020,810000,6.5,PEW2025,9,GUY
Haiti,2010,9800000,<0.1,PEW2025,9,HTI
Haiti,2020,11240000,<0.1,PEW2025,9,HTI
Honduras,2010,8370000,<0.1,PEW2025,9,HND
