area,year,muslim_percent,source_id,source_page
Sri Lanka,2024,10.7,LKA2024,96
Colombo,2024,12.6,LKA2024,96
Gampaha,2024,5.5,LKA2024,96
Kalutara,2024,10.6,LKA2024,96
Kandy,2024,15.3,LKA2024,96
Matale,2024,9.9,LKA2024,96
Nuwara Eliya,2024,3.0,LKA2024,96
Galle,2024,4.2,LKA2024,96
Matara,2024,3.6,LKA2024,96
Hambantota,2024,2.7,LKA2024,96
Jaffna,2024,0.7,LKA2024,96
Mannar,2024,27.4,LKA2024,96
Vavunya,2024,10.3,LKA2024,96
Mullaitivu,2024,2.7,LKA2024,96
Kilinochchi,2024,1.0,LKA2024,96
Batticaloa,2024,27.1,LKA2024,96
Ampara,2024,45.6,LKA2024,96
Trincomalee,2024,46.5,LKA2024,96
Kurunegala,2024,8.1,LKA2024,96
Puttalam,2024,21.6,LKA2024,96
Anuradhapura,2024,8.7,LKA2024,96
Polonnaruwa,2024,8.3,LKA2024,96
Badulla,2024,6.1,LKA2024,96
Moneragala,2024,2.3,LKA2024,96
Ratnapura,2024,2.3,LKA2024,96
Kegalle,2024,8.4,LKA2024,96
