name,m49,iso3,region
Algeria,012,DZA,Northern Africa
Egypt,818,EGY,Northern Africa
Libya,434,LBY,Northern Africa
Morocco,504,MAR,Northern Africa
Sudan,729,SDN,Northern Africa
Tunisia,788,TUN,Northern Africa
Western Sahara,732,ESH,Northern Africa
British Indian Ocean Territory,086,IOT,Eastern Africa
Burundi,108,BDI,Eastern Africa
Comoros,174,COM,Eastern Africa
Djibouti,262,DJI,Eastern Africa
Eritrea,232,ERI,Eastern Africa
Ethiopia,231,ETH,Eastern Africa
French Southern Territories,260,ATF,Eastern Africa
Kenya,404,KEN,Eastern Africa
Madagascar,450,MDG,Eastern Africa
Malawi,454,MWI,Eastern Africa
Mauritius,480,MUS,Eastern Africa
Mayotte,175,MYT,Eastern Africa
Mozambique,508,MOZ,Eastern Africa
Réunion,638,REU,Eastern Africa
Rwanda,646,RWA,Eastern Africa
Seychelles,690,SYC,Eastern Africa
Somalia,706,SOM,Eastern Africa
South Sudan,728,SSD,Eastern Africa
Uganda,800,UGA,Eastern Africa
United Republic of Tanzania,834,TZA,Eastern Africa
Zambia,894,ZMB,Eastern Africa
Zimbabwe,716,ZWE,Eastern Africa
Angola,024,AGO,Middle Africa
Cameroon,120,CMR,Middle Africa
Central African Republic,140,CAF,Middle Africa
Chad,148,TCD,Middle Africa
Congo,178,COG,Middle Africa
Democratic Republic of the Congo,180,COD,Middle Africa
Equatorial Guinea,226,GNQ,Middle Africa
Gabon,266,GAB,Middle Africa
Sao Tome and Principe,678,STP,Middle Africa
Botswana,072,BWA,Southern Africa
Eswatini,748,SWZ,Southern Africa
Lesotho,426,LSO,Southern Africa
Namibia,516,NAM,Southern Africa
South Africa,710,ZAF,Southern Africa
Benin,204,BEN,Western Africa
Burkina Faso,854,BFA,Western Africa
Cabo Verde,132,CPV,Western Africa
Côte d’Ivoire,384,CIV,Western Africa
Gambia,270,GMB,Western Africa
Ghana,288,GHA,Western Africa
Guinea,324,GIN,Western Africa
Guinea-Bissau,624,GNB,Western Africa
Liberia,430,LBR,Western Africa
Mali,466,MLI,Western Africa
Mauritania,478,MRT,Western Africa
Niger,562,NER,Western Africa
