iso3,国・地域名,地域数,言語表記数,統計値数
GBR,イギリス,6,6,5
IRL,アイルランド,2,2,0
IMN,マン島,1,2,0
JEY,ジャージー,1,3,0
GGY,ガーンジー,1,3,0
ISL,アイスランド,1,1,0
FRO,フェロー諸島,1,2,0
DNK,デンマーク,2,2,0
NOR,ノルウェー,6,6,0
SJM,スヴァールバル諸島・ヤンマイエン島,2,2,0
SWE,スウェーデン,6,6,0
FIN,フィンランド,6,5,3
ALA,オーランド諸島,1,1,0
EST,エストニア,1,1,0
LVA,ラトビア,1,1,0
LTU,リトアニア,1,1,0
BEL,ベルギー,4,3,0
NLD,オランダ,2,2,0
LUX,ルクセンブルク,1,3,1
FRA,フランス,7,7,1
DEU,ドイツ,7,7,0
AUT,オーストリア,4,4,0
CHE,スイス,4,4,5
LIE,リヒテンシュタイン,1,1,0
ESP,スペイン,10,7,3
PRT,ポルトガル,2,2,0
AND,アンドラ,1,1,0
GIB,ジブラルタル,1,1,0
ITA,イタリア,9,9,3
SMR,サンマリノ,1,1,0
VAT,バチカン,1,2,0
MCO,モナコ,1,2,0
POL,ポーランド,6,6,0
CZE,チェコ,2,2,0
SVK,スロバキア,3,3,0
HUN,ハンガリー,3,3,0
SVN,スロベニア,3,3,0
HRV,クロアチア,4,4,0
BIH,ボスニア・ヘルツェゴビナ,1,3,0
SRB,セルビア,4,9,5
XKX,コソボ,2,4,0
MNE,モンテネグロ,2,6,5
ALB,アルバニア,3,3,0
MKD,北マケドニア,6,6,6
GRC,ギリシャ,1,1,0
MLT,マルタ,1,2,0
CYP,キプロス,2,2,0
BGR,ブルガリア,1,1,0
ROU,ルーマニア,4,3,0
MDA,モルドバ,5,6,5
UKR,ウクライナ,4,4,0
BLR,ベラルーシ,1,2,0
RUS,ロシア,21,35,0
ARM,アルメニア,1,1,0
AZE,アゼルバイジャン,1,1,0
GEO,ジョージア,3,4,0
