id,iso3,area_ja,language_id,year,indicator_ja,value_percent,denominator_ja,source_id,note_ja
welsh-all,GBR,ウェールズ全体,cy,2021,話せる,17.8,3歳以上の通常居住者,WELSH,
welsh-gwynedd,GBR,北西部グウィネズ,cy,2021,話せる,64.4,3歳以上の通常居住者,WELSH,
welsh-anglesey,GBR,北西沖アングルシー島,cy,2021,話せる,55.8,3歳以上の通常居住者,WELSH,
welsh-ceredigion,GBR,中西部ケレディジョン,cy,2021,話せる,45.3,3歳以上の通常居住者,WELSH,
gaelic-islands,GBR,北西沖のアウター・ヘブリディーズ,gd,2022,何らかの言語技能,57,島の住民（国勢調査の言語項目対象）,GAELIC-STAT,話せる割合とは異なる。公表値は整数丸め。
fin-fi,FIN,全国,fi,2024,登録母語,84.1,"総人口5,635,971人",FIN,
fin-sv,FIN,全国,sv,2024,登録母語,5.1,"総人口5,635,971人",FIN,
fin-se,FIN,全国,se,2024,登録母語,0.04,"総人口5,635,971人",FIN,se行の0.04%はサーミ諸語の合計。個別言語の割合ではない。
che-de_CH,CHE,全国,de_CH,2020,主要言語,62,永住人口の全年齢（家族についての補足回答を含む・最大3言語）,CHE-STAT,ドイツ語にはスイスドイツ語、イタリア語には方言も含む。調査範囲・丸めが異なるため他国と単純比較しない。
che-fr,CHE,全国,fr,2020,主要言語,23,永住人口の全年齢（家族についての補足回答を含む・最大3言語）,CHE-STAT,ドイツ語にはスイスドイツ語、イタリア語には方言も含む。調査範囲・丸めが異なるため他国と単純比較しない。
che-it,CHE,全国,it,2020,主要言語,8,永住人口の全年齢（家族についての補足回答を含む・最大3言語）,CHE-STAT,ドイツ語にはスイスドイツ語、イタリア語には方言も含む。調査範囲・丸めが異なるため他国と単純比較しない。
che-rm,CHE,全国,rm,2020,主要言語,0.5,永住人口の全年齢（家族についての補足回答を含む・最大3言語）,CHE-STAT,ドイツ語にはスイスドイツ語、イタリア語には方言も含む。調査範囲・丸めが異なるため他国と単純比較しない。
che-romansh-area,CHE,南東部ロマンシュ語地域,rm,2020,主要言語,65,ロマンシュ語地域の永住人口・全年齢（複数回答）,CHE-STAT,
lux-main,LUX,全国,lb,2021,主要言語,48.9,2021国勢調査の主要言語回答者,LUX-STAT,
tyrol-de,ITA,北端・ボルツァーノ周辺,de,2024,言語集団への所属宣言,68.61,"対象イタリア国民の有効宣言450,373件",TYROL-STAT,2023-09-30時点の居住等を要件とする2024調査。外国籍住民を含む全人口の母語割合ではない。
tyrol-it,ITA,北端・ボルツァーノ周辺,it,2024,言語集団への所属宣言,26.98,"対象イタリア国民の有効宣言450,373件",TYROL-STAT,2023-09-30時点の居住等を要件とする2024調査。外国籍住民を含む全人口の母語割合ではない。
tyrol-lld,ITA,北端・ボルツァーノ周辺,lld,2024,言語集団への所属宣言,4.41,"対象イタリア国民の有効宣言450,373件",TYROL-STAT,2023-09-30時点の居住等を要件とする2024調査。外国籍住民を含む全人口の母語割合ではない。
catalan-speak,ESP,北東部カタルーニャ,ca,2023,話せる,80.4,15歳以上,CAT-STAT,
basque-bac,ESP,北部バスク自治州,eu,2021,話せる,36.2,16歳以上,BASQUE-STAT,
basque-nav,ESP,北部ナバラ,eu,2021,話せる,14.1,16歳以上,BASQUE-STAT,
basque-fr,FRA,南西端フランス領バスク,eu,2021,話せる,20.1,16歳以上,BASQUE-STAT,
srb-sr,SRB,全国（コソボを除く）,sr,2022,母語,84.4,国勢調査人口,SRB-STAT,
srb-hu,SRB,全国（コソボを除く）,hu,2022,母語,2.6,国勢調査人口,SRB-STAT,
srb-bs,SRB,全国（コソボを除く）,bs,2022,母語,2.2,国勢調査人口,SRB-STAT,
srb-rom,SRB,全国（コソボを除く）,rom,2022,母語,1.2,国勢調査人口,SRB-STAT,
srb-sq,SRB,全国（コソボを除く）,sq,2022,母語,1.0,国勢調査人口,SRB-STAT,
