国連による世界地理区分,国・地域名,国内の大まかな地域,言語の日本語名,文字体系,特徴となる文字形,冠詞・前置詞等／短い看板語,見分け方・混同注意,公的地位・看板での扱い,地域の解説,地図番号,地図帳ページ,地域ID,言語ID,経度,緯度,範囲の性質,統計ID,参照資料ID,地域・制度の出典URL,文字の出典URL,大文字形（機械的な対応・例外は解説）
北ヨーロッパ,イギリス,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の事実上の共通語・主要公共表示,英語は全国の事実上の共通語。英国全体を対象とする単一の法定公用語指定とは区別。,1,3,gbr-base,en,-1.90973,54.31035,国・地域の外形,,UK,https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
北ヨーロッパ,アイルランド,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の公用語・主要公共表示,アイルランド語が第一公用語、英語が第二公用語。道路標識では全国的に両語を確認できる。,2,3,irl-base,en,-7.95881,53.41608,国・地域の外形,,IRISH-SIGN,https://www.tii.ie/media/3pumnn4c/tii-scheme-3-english.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
北ヨーロッパ,アイルランド,全域（基本の表示）,アイルランド語,Latin,á é í ó ú,an / na / agus,母音の右上がりのアクセント。スコットランド・ゲール語のà・èと比較。,全国の公用語・主要公共表示,アイルランド語が第一公用語、英語が第二公用語。道路標識では全国的に両語を確認できる。,2,3,irl-base,ga,-7.95881,53.41608,国・地域の外形,,IRISH-SIGN,https://www.tii.ie/media/3pumnn4c/tii-scheme-3-english.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ga.xml,Á É Í Ó Ú
北ヨーロッパ,マン島,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の公用語・主要公共表示,英語にマン島語の地名・公共表示を併記する例。,3,3,imn-base,en,-4.50777,54.24934,国・地域の外形,,MANX,https://www.douglas.gov.im/~documents/democratic-services/council-meetings-agendas-minutes/public-agenda-13-12-23/?layout=file,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
北ヨーロッパ,マン島,全域（基本の表示）,マン島語,Latin,çh yn oo,yn / ny / as,çhとynが補助になる。通常の英語標識も多い。,地域言語の地名・公共表示,英語にマン島語の地名・公共表示を併記する例。,3,3,imn-base,gv,-4.50777,54.24934,国・地域の外形,,MANX,https://www.douglas.gov.im/~documents/democratic-services/council-meetings-agendas-minutes/public-agenda-13-12-23/?layout=file,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/gv.xml,ÇH YN OO
北ヨーロッパ,イギリス,南西部（ウェールズ）,ウェールズ語,Latin,ŵ ŷ ll dd ff,y / yr / a,ll・dd・ffとw/yの多い地名が手掛かり。wだけでは判定しない。,ウェールズの公用語・英語との併記,英語との併記。ウェールズの行政区をまとめた範囲。,4,4,gbr-wales,cy,-3.61421,52.37299,行政区を使った位置の概略,welsh-all; welsh-gwynedd; welsh-anglesey; welsh-ceredigion,UK; WELSH,https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2; https://www.welshlanguagecommissioner.wales/policy-and-research/the-position-of-the-welsh-language/2021-census,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/cy.xml,Ŵ Ŷ LL DD FF
北ヨーロッパ,イギリス,北西部・北西沖の島々,スコットランド・ゲール語,Latin,à è ì ò ù,an / na / agus,母音の左上がりのアクセント。アイルランド語と文字列を共有する。,スコットランドの公用語・一部道路等に併記,ゲール語併記の幹線・自治体表示。東・南側の一部幹線にも続く。,5,4,gbr-gaelic,gd,-4.65553,56.98772,行政区を使った位置の概略,gaelic-islands,UK; GAELIC-SIGN; GAELIC-STAT,https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2; https://www.transport.gov.scot/media/48722/guidance-on-the-use-of-bilingual-gaelic-english-traffic-signs-in-scotland.pdf; https://www.gov.scot/publications/national-islands-plan-2/pages/10/,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/gd.xml,À È Ì Ò Ù
北ヨーロッパ,イギリス,北部（スコットランド）,スコッツ語,Latin,ae aa oo,aye / o / brae,英語に近い綴り。英語と同じ看板も多く、文字だけでは断定できない。,地域の公用語／地名・文化表示,2025年法による公的地位。英語と同形の地名が多く、道路の主表示を一律にスコッツ語とはしない。,6,4,gbr-scots,sco,-3.87779,56.66822,国の外形で切り取った概略範囲,,UK,https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2,https://www.omniglot.com/writing/scots.htm,AE AA OO
北ヨーロッパ,イギリス,南西端（コーンウォール）,コーンウォール語,Latin,yw dh ow,an / ha / Kernow,固有の追加文字より、Kernow・Kernow a'gas dynnerghなどを補助にする。,地域言語の地名・公共表示,新しい街路名板などに併記。幹線道路がすべて併記とは限らない。,7,4,gbr-cornwall,kw,-4.63361,50.44592,行政区を使った位置の概略,,CORNISH; UK,https://www.cornwall.gov.uk/planning-and-building-control/property-and-street-naming-and-numbering/street-nameplates/; https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/kw.xml,YW DH OW
北ヨーロッパ,イギリス,西の島の北東部（北アイルランド）,アイルランド語,Latin,á é í ó ú,an / na / agus,母音の右上がりのアクセント。スコットランド・ゲール語のà・èと比較。,地域言語の地名・公共表示,自治体・街路によってアイルランド語を併記。地域全域の一様な表示ではない。,8,4,gbr-northern-ireland,ga,-6.89678,54.64846,国の外形で切り取った概略範囲,,UK; CHARTER,https://www.gov.uk/government/publications/toponymic-guidelines/toponymic-guidelines-for-map-and-other-editors-united-kingdom-of-great-britain-and-northern-ireland--2; https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ga.xml,Á É Í Ó Ú
